lemma	paradigm	tags	sources_count	source_flags
מות	ע,נפרד=מוות,יחיד,זכר		2	HL
אלמות	ע,נפרד=אלמוות,יחיד,זכר		1	H
אלמותי	ת		1	H
צלמות	ע,נפרד=צלמוות,אין_נטיות,זכר		2	HL
גוwן	ע,נפרד=גוון,אבד_ו	#,גוון	1	H
חדגוני	ת		1	H
חדגוניות	ע		1	H
רבגוני	ת		2	HL
רבגוניות	ע		1	H
גוני	ת	#,Only,in,phrases,חד-גוני,,רב-גוני.	2	HL
גוניות	ע	#,Only,in,phrases,חד-גוניות,,רב-גוניות.	2	HL
תוך	ע,ות,נפרד=תווך		1	H
סתו	ע,נפרד=סתיו,נסמך=סתיו		1	H
סתווי	ת		2	HL
שלו	ע,נפרד=שליו,נסמך=שליו	#,a,kind,of,bird.,This,is,not,the,adjective,שלו.	2	HL
ענו	ת,יחיד=עניו		2	HL
לוי	ע,אין_כינויים		2	HL
סייג	ע		2	HL
שייר	ע		2	HL
סייח	ע		2	HL
סייחה	ע		1	H
בניין	ע		2	HL
מעיין	ע,ים,ות	#,In,modern,writing,,the,plural,form,מעיינים,(especially,with,possesives),is,researved,for,the,phrases,בראש,מעייניו,,כל,מעייניו.	2	HL
מניין	ע		2	HL
קניין	ע	#,with,chirik,in,kuf	2	HL
קנייני	ת		2	HL
קניין	ע	#,with,patach,in,kuf	2	HL
קניינית	ע		2	HL
זכיין	ע		2	HL
זכיינית	ע		2	HL
סייען	ע		1	H
סייענית	ע		1	H
שחיין	ע		2	HL
שחיינית	ע		2	HL
שחיינות	ע,יחיד		1	H
נסיין	ע		1	H
נסיינית	ע		1	H
צליין	ע		1	H
צליינית	ע		1	H
צליינות	ע,יחיד		1	H
תליין	ע		2	HL
תליינית	ע		1	H
אחיין	ע		2	HL
אחיינית	ע		2	HL
שתיין	ת,נקבה_ית		2	HL
שתיינות	ע,יחיד		1	H
בליין	ת,נקבה_ית		2	HL
בליינות	ע,יחיד		1	H
בכיין	ת,נקבה_ית		2	HL
בכיינות	ע,יחיד		1	H
בכייני	ת		1	H
דייקן	ת,נקבה_ית		2	HL
דייקנות	ע,יחיד		2	HL
דייקני	ת		1	H
